,name,country,wikiurl,category,period,born,died
133,arberg,switzerland,https://de.wikipedia.org/wiki/Arberg?action=raw,gemeinde in deutschland,,,
134,ulmen,switzerland,https://de.wikipedia.org/wiki/Ulmen?action=raw,ulmen,,,
136,brisi,switzerland,https://en.wikipedia.org/wiki/Brisi?action=raw,mountain,,,
138,riedhof,switzerland,https://de.wikipedia.org/wiki/Kilian_Riedhof?action=raw,deutscher filmregisseur und drehbuchautor,,1971,
139,stollen,switzerland,https://en.wikipedia.org/wiki/Stollen?action=raw,prepared food,,,
142,auwiesen,switzerland,https://fr.wikipedia.org/wiki/Marcel_Callo?action=raw,saint,,,
143,salomon-bleuler,switzerland,https://de.wikipedia.org/wiki/Salomon_Bleuler?action=raw,"schweizer politiker, redakteur, verleger und theologe",,1829,1886
145,hündler,switzerland,https://fr.wikipedia.org/wiki/Disco?action=raw,musique (style)  ,,,
146,einfang,switzerland,https://fr.wikipedia.org/wiki/SC_Pfullendorf?action=raw,club de football,,,
149,giesser,switzerland,https://de.wikipedia.org/wiki/Gie%C3%9Fen?action=raw,gemeinde in deutschland,,,
151,rapp,switzerland,https://fr.wikipedia.org/wiki/Bernard_Rapp?action=raw,biographie2,,,
154,scheidegg,switzerland,https://de.wikipedia.org/wiki/Scheidegg?action=raw,gemeinde in deutschland,,,
155,wülflinger,switzerland,https://de.wikipedia.org/wiki/W%C3%BClflingen?action=raw,stadtkreis von winterthur,,,
156,theodor-kirchner-,switzerland,https://de.wikipedia.org/wiki/Theodor_Kirchner?action=raw,"deutscher komponist, dirigent, organist und pianist",,1823,1903
158,tössufer,switzerland,https://de.wikipedia.org/wiki/T%C3%B6ss_(Fluss)?action=raw,fluss,,,
160,baumschul,switzerland,https://en.wikipedia.org/wiki/Ulmus_%27Turkestanica%27?action=raw,cultivar,,,
161,zypressen,switzerland,https://de.wikipedia.org/wiki/Zypressen?action=raw,zypressen,,,
162,schneeball,switzerland,https://de.wikipedia.org/wiki/Gew%C3%B6hnlicher_Schneeball?action=raw,gewöhnlicher schneeball,,,
163,zwingli,switzerland,https://de.wikipedia.org/wiki/Huldrych_Zwingli?action=raw,"schweizer theologe, gründer der reformierten kirche zürichs",,1484,1531
164,bergblumen,switzerland,https://fr.wikipedia.org/wiki/Hilde_Wolter?action=raw,biographie2,,,
167,kehracker,switzerland,https://de.wikipedia.org/wiki/Rudolf_Bruchli_(%E2%80%A0_1493)?action=raw,schultheiss von winterthur,,1430,1493
173,salzlager,switzerland,https://de.wikipedia.org/wiki/Kaliwerk_Gl%C3%BCckauf_Sondershausen?action=raw,bergwerk,,,
176,neuwiesen,switzerland,https://de.wikipedia.org/wiki/Neuwiese_(Elsterheide)?action=raw,ortsteil einer gemeinde in deutschland,1995,,
178,schwerzenbach,switzerland,https://de.wikipedia.org/wiki/Schwerzenbach?action=raw,ort in der schweiz,,,
180,schützen,switzerland,https://fr.wikipedia.org/wiki/Massacre_de_Deutsch_Sch%C3%BCtzen-Eisenberg?action=raw,massacre,1945,,
181,eduard-steiner-,switzerland,https://de.wikipedia.org/wiki/Wiener_Riesenrad?action=raw,hohes gebäude,,,
182,eichbühl,switzerland,https://fr.wikipedia.org/wiki/Tramway_Steffisburg%E2%80%93Thun%E2%80%93Interlaken?action=raw,ligne ferroviaire,,,
183,laubegg,switzerland,https://fr.wikipedia.org/wiki/Ch%C3%A2tellenie_d%27Obersimmental?action=raw,ancienne entité territoriale,1386,,
184,floren,switzerland,https://fr.wikipedia.org/wiki/Florennes?action=raw,commune de belgique,,,
187,elch,switzerland,https://de.wikipedia.org/wiki/Elch?action=raw,elch,,,
190,schleife,switzerland,https://fr.wikipedia.org/wiki/Schleife?action=raw,commune d'allemagne,,,
191,merkur,switzerland,https://en.wikipedia.org/wiki/Merkur?action=raw,company,1985,,
192,jakob,switzerland,https://fr.wikipedia.org/wiki/Jakob_Fuglsang?action=raw,cycliste,,,
193,reismühle,switzerland,https://fr.wikipedia.org/wiki/Gauting?action=raw,commune d'allemagne,,,
194,friedhof,switzerland,https://fr.wikipedia.org/wiki/Friedhof?action=raw,localité du luxembourg,,,
195,schlossmühle,switzerland,https://fr.wikipedia.org/wiki/Romanswiller?action=raw,commune de france,,,
196,tössfeld,switzerland,https://de.wikipedia.org/wiki/FC_T%C3%B6ssfeld?action=raw,fußballklub,,,
198,taggenberg,switzerland,https://de.wikipedia.org/wiki/Taggenberg?action=raw,quartier von winterthur,,,
199,kirschen,switzerland,https://fr.wikipedia.org/wiki/Andr%C3%A9_Kirschen?action=raw,biographie2,,,
200,aprikosen,switzerland,https://de.wikipedia.org/wiki/Aprikose?action=raw,inhaltsstoffe,,,
201,langwiesen,switzerland,https://en.wikipedia.org/wiki/Langwies?action=raw,swiss town,,,
202,wölfflin,switzerland,https://de.wikipedia.org/wiki/Heinrich_W%C3%B6lfflin?action=raw,schweizer kunsthistoriker,,1864,1945
204,buchfinken,switzerland,https://de.wikipedia.org/wiki/Buchfink?action=raw,buchfink,,,
205,kurz,switzerland,https://de.wikipedia.org/wiki/Sebastian_Kurz?action=raw,"österreichischer politiker (övp), bundesminister und parteiobmann",,1986,
206,turmhalden,switzerland,https://de.wikipedia.org/wiki/Winturm?action=raw,burg,,,
208,stockemerberg,switzerland,https://de.wikipedia.org/wiki/Enzen_(Eifel)?action=raw,gemeinde in deutschland,,,
210,etzberg,switzerland,"https://en.wikipedia.org/wiki/Ottenbach,_Baden-W%C3%BCrttemberg?action=raw",german location,,,
215,seiden,switzerland,https://de.wikipedia.org/wiki/Seide?action=raw,faser,,,
216,frümsel,switzerland,https://de.wikipedia.org/wiki/Churfirsten?action=raw,berg,,,
218,heiligberg,switzerland,https://en.wikipedia.org/wiki/Heiligenberg?action=raw,german location,,,
222,waldhof,switzerland,https://de.wikipedia.org/wiki/SV_Waldhof_Mannheim?action=raw,fußballunternehmen,,,
223,kreuzegg,switzerland,https://en.wikipedia.org/wiki/Kreuzberg?action=raw,german location,,,
224,reh,switzerland,https://de.wikipedia.org/wiki/Reh?action=raw,reh,,,
225,sonnenberg,switzerland,https://fr.wikipedia.org/wiki/Tunnel_du_Sonnenberg?action=raw,tunnel,,,
226,corrodi,switzerland,https://de.wikipedia.org/wiki/Johann_Eugen_Corrodi?action=raw,schweizer offizier,,1897,1980
228,waldegg,switzerland,https://de.wikipedia.org/wiki/Waldegg?action=raw,gemeinde in österreich,,,
229,bäumli,switzerland,https://fr.wikipedia.org/wiki/Ibiza?action=raw,île,,,
231,selun,switzerland,https://de.wikipedia.org/wiki/Churfirsten?action=raw,berg,,,
233,eulach,switzerland,https://de.wikipedia.org/wiki/Eulach?action=raw,fluss,,,
234,rosinli,switzerland,https://de.wikipedia.org/wiki/Gioachino_Rossini?action=raw,italienischer komponist,,1792,1868
237,sulzer,switzerland,https://de.wikipedia.org/wiki/Sulzer_AG?action=raw,unternehmen,1914,,
238,rudolf-diesel-,switzerland,https://de.wikipedia.org/wiki/Rudolf_Diesel?action=raw,deutscher ingenieur und der erfinder des dieselmotors,,1858,1913
239,hinterholz,switzerland,https://de.wikipedia.org/wiki/Hinterholz_8?action=raw,film,,,
241,tannen,switzerland,https://de.wikipedia.org/wiki/Tannen?action=raw,tannen,,,
242,oberfeld,switzerland,https://fr.wikipedia.org/wiki/Casimir_Oberfeld?action=raw,biographie2,,,
243,eichliacker,switzerland,https://de.wikipedia.org/wiki/Eichliacker?action=raw,quartier von winterthur,,,
244,ohrbühl,switzerland,https://de.wikipedia.org/wiki/Winterthur?action=raw,ort in der schweiz,,,
245,grenz,switzerland,https://en.wikipedia.org/wiki/Stanley_Grenz?action=raw,person,,1950,2005
246,morgentau,switzerland,https://fr.wikipedia.org/wiki/Boys_Noize?action=raw,musique (artiste),,1982,
247,wart,switzerland,https://en.wikipedia.org/wiki/Wart?action=raw,medical condition (new),,,
248,eisweiher,switzerland,https://en.wikipedia.org/wiki/2017%E2%80%9318_Coupe_de_France?action=raw,football tournament season,,,
249,tödi,switzerland,https://de.wikipedia.org/wiki/T%C3%B6di?action=raw,berg,,,
250,reut,switzerland,https://de.wikipedia.org/wiki/Reut?action=raw,gemeinde in deutschland,,,
251,nelken,switzerland,https://de.wikipedia.org/wiki/Nelken?action=raw,nelken,,,
253,rigifuss,switzerland,https://de.wikipedia.org/wiki/Greppen?action=raw,ort in der schweiz,,,
254,boll,switzerland,https://de.wikipedia.org/wiki/Timo_Boll?action=raw,deutscher tischtennisspieler,,1981,
255,brunner,switzerland,https://it.wikipedia.org/wiki/Alois_Brunner?action=raw,militare,,,
256,blumenau,switzerland,https://de.wikipedia.org/wiki/Blumenau_(Brasilien)?action=raw,ort in brasilien,,,
257,reisfeld,switzerland,https://en.wikipedia.org/wiki/Renata_Reisfeld?action=raw,scientist,,,
260,geren,switzerland,https://en.wikipedia.org/wiki/Bob_Geren?action=raw,baseball biography,,1961,
262,storchen,switzerland,https://de.wikipedia.org/wiki/St%C3%B6rche?action=raw,störche,,,
263,euel,switzerland,https://fr.wikipedia.org/wiki/Euro?action=raw,monnaie,,,
264,schlosshof,switzerland,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Hof?action=raw,château,,,
268,grafenstein,switzerland,https://de.wikipedia.org/wiki/Grafenstein_(K%C3%A4rnten)?action=raw,gemeinde in österreich,,,
270,heinrich-bosshard-,switzerland,https://de.wikipedia.org/wiki/Heinrich_Bosshard?action=raw,"schweizer lehrer, musiker, dichter, naturforscher und landwirt",,1811,1877
271,hinterdorf,switzerland,https://de.wikipedia.org/wiki/Menzenschwand?action=raw,ortsteil einer gemeinde in deutschland,1974,,
272,neuburg,switzerland,https://de.wikipedia.org/wiki/Neuburg_an_der_Donau?action=raw,gemeinde in deutschland,,,
273,else-züblin-,switzerland,https://de.wikipedia.org/wiki/Else_Z%C3%BCblin-Spiller?action=raw,schweizer journalistin und abstinenzlerin,,1881,1948
274,grüntal,switzerland,https://fr.wikipedia.org/wiki/Gr%C3%BCnwald?action=raw,commune d'allemagne,,,
275,schlosstal,switzerland,https://de.wikipedia.org/wiki/Schlosstal?action=raw,quartier von winterthur,,,
276,spengler,switzerland,https://fr.wikipedia.org/wiki/Oswald_Spengler?action=raw,biographie2,,,
277,pfirsich,switzerland,https://de.wikipedia.org/wiki/Pfirsich?action=raw,pfirsich,,,
279,dammwiesen,switzerland,https://de.wikipedia.org/wiki/Lange_Dammwiesen_und_Unteres_Annatal?action=raw,schutzgebiet,,,
280,birken,switzerland,https://de.wikipedia.org/wiki/Birken?action=raw,birken,2012,,
281,hainbuchen,switzerland,https://fr.wikipedia.org/wiki/Hrab%C5%AFvka?action=raw,ville de république tchèque,,,
284,bühlacker,switzerland,https://de.wikipedia.org/wiki/Kaisersbach?action=raw,gemeinde in deutschland,,,
285,fuchshalde,switzerland,https://de.wikipedia.org/wiki/Pfullendorf?action=raw,gemeinde in deutschland,,,
286,narzissen,switzerland,https://de.wikipedia.org/wiki/Narzissen?action=raw,narzissen,,,
287,glärnisch,switzerland,https://de.wikipedia.org/wiki/Gl%C3%A4rnisch?action=raw,berg,,,
291,sempacher,switzerland,https://de.wikipedia.org/wiki/Schlacht_bei_Sempach?action=raw,militärischer konflikt,1386,,
292,eigenheim,switzerland,https://fr.wikipedia.org/wiki/Lotje_van_Lunteren?action=raw,cinéma (personnalité),,1974,
294,ganzenbühl,switzerland,https://de.wikipedia.org/wiki/Ganzenb%C3%BChl?action=raw,quartier von winterthur,,,
296,färber,switzerland,https://fr.wikipedia.org/wiki/Stacey_Farber?action=raw,cinéma (personnalité),,1987,
299,büelrain,switzerland,https://de.wikipedia.org/wiki/Kantonsschule_B%C3%BCelrain?action=raw,schule,,,
300,hofmann,switzerland,https://fr.wikipedia.org/wiki/Albert_Hofmann?action=raw,scientifique,,1906,2008
303,wildbach,switzerland,https://fr.wikipedia.org/wiki/Ulrike_Folkerts?action=raw,cinéma (personnalité),,1961,
307,theodor-reuter,switzerland,https://fr.wikipedia.org/wiki/Fritz_Reuter?action=raw,biographie2,,,
310,hegifeld,switzerland,https://en.wikipedia.org/wiki/James_Hetfield?action=raw,musical artist,,1963,
311,hedy-hahnloser-,switzerland,https://fr.wikipedia.org/wiki/Villa_Flora?action=raw,musée,,,
313,hölderli,switzerland,https://de.wikipedia.org/wiki/Friedrich_H%C3%B6lderlin?action=raw,deutscher lyriker,,1770,1843
314,flugplatz,switzerland,https://fr.wikipedia.org/wiki/A%C3%A9rodrome_de_Worms?action=raw,aéroport,,,
